thumbnail_link,video_link,video_title,views,date_time,video_duration
https://i.ytimg.com/vi/KG4dbF5xRig/hqdefault.jpg,https://www.youtube.com/watch?v=KG4dbF5xRig,Queue Practice Questions (updated) | GeeksforGeeks,700 views,2 days ago,"12 minutes, 14 seconds"
https://i.ytimg.com/vi/OOLXHwZzHfM/hqdefault.jpg,https://www.youtube.com/watch?v=OOLXHwZzHfM,Free Summer Offline Classes on Python Programing | For Students Aged 14-21 | GeeksforGeeks,3.8K views,5 days ago,37 seconds
https://i.ytimg.com/vi/nDa75spDmeE/hqdefault.jpg,https://www.youtube.com/watch?v=nDa75spDmeE,Python Libraries | Data Science | GeeksforGeeks,1K views,13 days ago,"1 minute, 26 seconds"
https://i.ytimg.com/vi/SWa-tsbaIpg/hqdefault.jpg,https://www.youtube.com/watch?v=SWa-tsbaIpg,ITR Filing Made Simple | Documents require to file ITR | GeeksforGeeks,803 views,2 weeks ago,"5 minutes, 40 seconds"
https://i.ytimg.com/vi/cBfC9HLR9Qk/hqdefault.jpg,https://www.youtube.com/watch?v=cBfC9HLR9Qk,Full Stack Development | LIVE Classes | GeeksforGeeks,10K views,2 weeks ago,35 seconds
https://i.ytimg.com/vi/uEhnTpHY26o/hqdefault.jpg,https://www.youtube.com/watch?v=uEhnTpHY26o,GeeksforGeeks Classroom Program in NCR,2K views,2 weeks ago,37 seconds
,https://www.youtube.com/watch?v=3_x_Fb31NLE,What is Arrays | Arrays Explained | New Video - GeeksforGeeks,1.4K views,3 weeks ago,"9 minutes, 48 seconds"
,https://www.youtube.com/watch?v=J7EhXvnixRM,Arrays Practice Questions (Updated) | In C++/JAVA/Python | GeeksforGeeks,1.8K views,3 weeks ago,"10 minutes, 48 seconds"
,https://www.youtube.com/watch?v=G-3vZKPEtKw,Gate 2024: Prepare for Success! | GATE CSE 2024 | GeeksforGeeks,8.8K views,3 weeks ago,52 seconds
,https://www.youtube.com/watch?v=FCEj-mreXvI,Get Started with CP | Competitive Programming Tips | GeeksforGeeks,2K views,4 weeks ago,"1 minute, 39 seconds"
,https://www.youtube.com/watch?v=sA2vgFR-fZc,React VS Angular VS Vue | GeeksforGeeks,1.5K views,1 month ago,"1 minute, 35 seconds"
,https://www.youtube.com/watch?v=16D2cuRy5JY,GeeksforGeeks Classroom Program | Offline Classes in Noida,19K views,1 month ago,38 seconds
,https://www.youtube.com/watch?v=-eqjV5dwb9Q,Transformers in NLP | GeeksforGeeks,1.2K views,1 month ago,"28 minutes, 45 seconds"
,https://www.youtube.com/watch?v=uY05MFnSMwU,Jobs that AI can't replace | GeeksforGeeks,2.2K views,1 month ago,"3 minutes, 17 seconds"
,https://www.youtube.com/watch?v=1GEegOb3fHE,Job Fair for Students | Till 25th May Only | GeeksforGeeks,82K views,1 month ago,39 seconds
https://i.ytimg.com/vi/0gnaXUiSELY/hqdefault.jpg,https://www.youtube.com/watch?v=0gnaXUiSELY,"Flutter: ""Pros and Cons"" | GeeksforGeeks",1.5K views,1 month ago,"8 minutes, 44 seconds"
https://i.ytimg.com/vi/xifGlf39ahQ/hqdefault.jpg,https://www.youtube.com/watch?v=xifGlf39ahQ,Hire Best Talent with GeeksforGeeks,14K views,1 month ago,54 seconds
https://i.ytimg.com/vi/5jHvfzt8Ors/hqdefault.jpg,https://www.youtube.com/watch?v=5jHvfzt8Ors,Tech Jobs without Degree | GeeksforGeeks,1.2K views,1 month ago,"2 minutes, 3 seconds"
https://i.ytimg.com/vi/ISPOKldx90E/hqdefault.jpg,https://www.youtube.com/watch?v=ISPOKldx90E,Start your writing Journey | Geek Author Badges | GeeksforGeeks,1.1K views,1 month ago,"1 minute, 12 seconds"
https://i.ytimg.com/vi/kW9BohViP04/hqdefault.jpg,https://www.youtube.com/watch?v=kW9BohViP04,Presenting: GeeksforGeeks Author Badges | Honoring the Writer in You!,1K views,1 month ago,56 seconds
https://i.ytimg.com/vi/LycNCWC3g18/hqdefault.jpg,https://www.youtube.com/watch?v=LycNCWC3g18,Create Your Own Apps Today | GeeksforGeeks,25K views,1 month ago,38 seconds
https://i.ytimg.com/vi/t8aN8nczZlA/hqdefault.jpg,https://www.youtube.com/watch?v=t8aN8nczZlA,Top 10 DSA Topics | Master these To Ace In Your Career | GeeksforGeeks,2.3K views,2 months ago,"5 minutes, 38 seconds"
https://i.ytimg.com/vi/iM-EpJHn59Q/hqdefault.jpg,https://www.youtube.com/watch?v=iM-EpJHn59Q,Ernie vs ChatGPT | GeeksforGeeks,908 views,2 months ago,"1 minute, 32 seconds"
https://i.ytimg.com/vi/zLj3Qb9T2Q4/hqdefault.jpg,https://www.youtube.com/watch?v=zLj3Qb9T2Q4,Rule the Coding World with Geek Summer Carnival | GeeksforGeeks,25K views,2 months ago,42 seconds
https://i.ytimg.com/vi/uSx5XsCkX3c/hqdefault.jpg,https://www.youtube.com/watch?v=uSx5XsCkX3c,How to become a Full Stack Developer | GeeksforGeeks,4.4K views,2 months ago,"11 minutes, 57 seconds"
https://i.ytimg.com/vi/i_HlQl7Tg9Q/hqdefault.jpg,https://www.youtube.com/watch?v=i_HlQl7Tg9Q,Office Video Leaked 😰🤯,5K views,2 months ago,"1 minute, 35 seconds"
https://i.ytimg.com/vi/_E6_jZJAT3k/hqdefault.jpg,https://www.youtube.com/watch?v=_E6_jZJAT3k,UI/UX Trends every Startup must know! | @thegeekmonk1707 |GeeksforGeeks,989 views,2 months ago,"2 minutes, 3 seconds"
https://i.ytimg.com/vi/TASew4CmC9w/hqdefault.jpg,https://www.youtube.com/watch?v=TASew4CmC9w,Age is Just a Number: The Story of a 14-Year-Old CEO | CodeCast | GeeksforGeeks,13K views,2 months ago,"16 minutes, 45 seconds"
https://i.ytimg.com/vi/Mnx3TAgbX7o/hqdefault.jpg,https://www.youtube.com/watch?v=Mnx3TAgbX7o,How to Use GPT 4 | How it's better from GPT 3 | GeeksforGeeks,3.9K views,2 months ago,"3 minutes, 42 seconds"
https://i.ytimg.com/vi/PsOXP5hg52w/hqdefault.jpg,https://www.youtube.com/watch?v=PsOXP5hg52w,Master DSA Today and be the Masters of Tomorrow,40K views,2 months ago,25 seconds
https://i.ytimg.com/vi/s4frRcj17AM/hqdefault.jpg,https://www.youtube.com/watch?v=s4frRcj17AM,How to avoid getting Laid Off | ft. Dr. Sneha Sharma,1K views,3 months ago,"31 minutes, 37 seconds"
https://i.ytimg.com/vi/0oPyv39ynTo/hqdefault.jpg,https://www.youtube.com/watch?v=0oPyv39ynTo,Psychology of Deciding Your Career ft. Dhairya Gangwani | GeeksforGeeks,824 views,3 months ago,"19 minutes, 28 seconds"
https://i.ytimg.com/vi/5uAFQqdS9oA/hqdefault.jpg,https://www.youtube.com/watch?v=5uAFQqdS9oA,CodeCast Ep. 3 | Learn all About Competitive Programming | @PriyanshAgarwal  with Mr. Sandeep Jain,5.6K views,3 months ago,"31 minutes, 56 seconds"
,https://www.youtube.com/watch?v=tn5BHjwAvTc,Advice for Women in Tech | ft. @PriyaVajpeyi,1.5K views,3 months ago,"11 minutes, 55 seconds"
,https://www.youtube.com/watch?v=nRbR9A_8nMQ,Roadmap to Amazon | Twinkle Bajaj - SDE at Amazon,1.7K views,3 months ago,"18 minutes, 30 seconds"
,https://www.youtube.com/watch?v=RQuaGniMRUU,Google Cloud X AMD and GeeksforGeeks Goes to Colleges With Some Fun Twist!,1.4K views,3 months ago,"1 minute, 5 seconds"
,https://www.youtube.com/watch?v=p0FQuaFLh0A,Solving For India Hackathon | @googlecloud X AMD | GeeksforGeeks,2.3K views,3 months ago,47 seconds
,https://www.youtube.com/watch?v=xIC1IFPod9Y,GeeksforGeeks Job Fair 2023,25K views,3 months ago,31 seconds
,https://www.youtube.com/watch?v=2RcaFQzCgys,OpenAI's ChatGPT & GPT 4 | Google's BARD AI | Will AI Replace You?,1.9K views,3 months ago,"35 minutes, 45 seconds"
,https://www.youtube.com/watch?v=RSVndjS2gMM,Get Started With Machine Learning | GeeksforGeeks,1.6K views,3 months ago,"15 minutes, 30 seconds"
,https://www.youtube.com/watch?v=D8aEoRbwC64,🎊Celebrating Bi-Wizard's First Anniversary🎊 | Join the Best Young Coders in the World,607 views,3 months ago,31 seconds
